symbol,sector,selection_effect
NATL,Financials,0.012317866111080749
AIR,Industrials,0.01069862136003663
MTRN,Materials,0.008867172427132452
MYRG,Industrials,0.0077593003405770425
INVA,Health Care,0.007344157954880754
VIAV,Information Technology,0.007217476690503344
GTES,Industrials,0.006474179343159395
CRGY,Energy,0.005302262697512998
PRDO,Consumer Discretionary,0.0031226841413642464
FSS,Industrials,0.002950068166740984
CTRE,Real Estate,0.0024411069461326685
LUMN,Communication Services,0.0018585476391646803
AX,Financials,0.0011170001930991067
VECO,Information Technology,0.0010332873884203958
UNFI,Consumer Staples,0.00020733093640609192
AUD,Communication Services,0.0
ASGN,Information Technology,0.0
APOG,Industrials,0.0
ARES,Financials,0.0
ATKR,Industrials,0.0
ABCB,Financials,0.0
AMCX,Communication Services,0.0
AMN,Health Care,0.0
AGX,Industrials,0.0
ADUS,Health Care,0.0
CSV,Consumer Discretionary,0.0
BTE,Energy,0.0
CARS,Communication Services,0.0
CALY,Consumer Discretionary,0.0
CCF,Materials,0.0
CCRD,Information Technology,0.0
CDNA,Health Care,0.0
CARG,Communication Services,0.0
CDRE,Industrials,0.0
CENT,Consumer Staples,0.0
CMC,Materials,0.0
CHRD,Energy,0.0
CNMD,Health Care,0.0
COLL,Health Care,0.0
CRVL,Health Care,0.0
CBNK,Financials,0.0
EBS,Health Care,0.0
CSW,Industrials,0.0
CTBI,Financials,0.0
CTLT,Health Care,0.0
CVSA,Consumer Discretionary,0.0
AVNT,Materials,0.0
AWR,Utilities,0.0
ATSG,Industrials,0.0
BEAT,Health Care,0.0
AZTA,Health Care,0.0
BAND,Communication Services,0.0
BCML,Financials,0.0
BRBR,Consumer Staples,0.0
BJ,Consumer Staples,0.0
AMPH,Health Care,0.0
AMBA,Information Technology,0.0
WASH,Financials,0.0
OEC,Materials,0.0
ECPG,Financials,0.0
ENSG,Health Care,0.0
DY,Industrials,0.0
DV,Communication Services,0.0
DORM,Consumer Discretionary,0.0
ELF,Consumer Staples,0.0
DHIL,Financials,0.0
DGII,Information Technology,0.0
DCO,Industrials,0.0
GMED,Health Care,0.0
FUN,Consumer Discretionary,0.0
GIC,Industrials,0.0
GLDD,Industrials,0.0
ENVA,Financials,0.0
GOOD,Real Estate,0.0
GOLF,Consumer Discretionary,0.0
GSBC,Financials,0.0
GRBK,Consumer Discretionary,0.0
HCCI,Industrials,0.0
HLIT,Information Technology,0.0
HOMB,Financials,0.0
HALO,Health Care,0.0
HUBG,Industrials,0.0
HWKN,Materials,0.0
IMAX,Communication Services,0.0
IIPR,Real Estate,0.0
EYE,Consumer Discretionary,0.0
FIZZ,Consumer Staples,0.0
EVRI,Consumer Discretionary,0.0
EPRT,Real Estate,0.0
IWM,Funds,0.0
ITIC,Financials,0.0
IPAR,Consumer Staples,0.0
IMMR,Information Technology,0.0
LGND,Health Care,0.0
KFY,Industrials,0.0
LBRT,Energy,0.0
KMPR,Financials,0.0
MCBC,Financials,0.0
MED,Consumer Staples,0.0
MEI,Information Technology,0.0
MGPI,Consumer Staples,0.0
MNR,Energy,0.0
LRN,Consumer Discretionary,0.0
MANT,Industrials,0.0
MBUU,Consumer Discretionary,0.0
NMIH,Financials,0.0
MOG A,Industrials,0.0
MIME,Information Technology,0.0
MRLN,Financials,0.0
MYGN,Health Care,0.0
MTX,Materials,0.0
MZTI,Consumer Staples,0.0
